guidance_id,condition_code,condition_name_vi,population_code,population_name_vi,topic_code,topic_name_vi,guidance_text,warning_level,medical_disclaimer
HG00015,DOMS,Đau nhức cơ khởi phát muộn,busy_parent,Người bận rộn,warning_signs,Dấu hiệu cần thận trọng,"Đau nhức cơ khởi phát muộn ở nhóm người bận rộn: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00016,DOMS,Đau nhức cơ khởi phát muộn,overweight_beginner,Người thừa cân mới tập,training_modification,Điều chỉnh bài tập,"Đau nhức cơ khởi phát muộn ở nhóm người thừa cân mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00017,DOMS,Đau nhức cơ khởi phát muộn,overweight_beginner,Người thừa cân mới tập,recovery,Hồi phục,"Đau nhức cơ khởi phát muộn ở nhóm người thừa cân mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00018,DOMS,Đau nhức cơ khởi phát muộn,overweight_beginner,Người thừa cân mới tập,nutrition,Dinh dưỡng,"Đau nhức cơ khởi phát muộn ở nhóm người thừa cân mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00019,DOMS,Đau nhức cơ khởi phát muộn,overweight_beginner,Người thừa cân mới tập,load_management,Quản lý tải,Đau nhức cơ khởi phát muộn ở nhóm người thừa cân mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.,general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00020,DOMS,Đau nhức cơ khởi phát muộn,overweight_beginner,Người thừa cân mới tập,warning_signs,Dấu hiệu cần thận trọng,"Đau nhức cơ khởi phát muộn ở nhóm người thừa cân mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00021,DOMS,Đau nhức cơ khởi phát muộn,skinny_beginner,Người gầy mới tập,training_modification,Điều chỉnh bài tập,"Đau nhức cơ khởi phát muộn ở nhóm người gầy mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00022,DOMS,Đau nhức cơ khởi phát muộn,skinny_beginner,Người gầy mới tập,recovery,Hồi phục,"Đau nhức cơ khởi phát muộn ở nhóm người gầy mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00023,DOMS,Đau nhức cơ khởi phát muộn,skinny_beginner,Người gầy mới tập,nutrition,Dinh dưỡng,"Đau nhức cơ khởi phát muộn ở nhóm người gầy mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00024,DOMS,Đau nhức cơ khởi phát muộn,skinny_beginner,Người gầy mới tập,load_management,Quản lý tải,Đau nhức cơ khởi phát muộn ở nhóm người gầy mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.,general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00025,DOMS,Đau nhức cơ khởi phát muộn,skinny_beginner,Người gầy mới tập,warning_signs,Dấu hiệu cần thận trọng,"Đau nhức cơ khởi phát muộn ở nhóm người gầy mới tập: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00026,DOMS,Đau nhức cơ khởi phát muộn,home_trainee,Người tập tại nhà,training_modification,Điều chỉnh bài tập,"Đau nhức cơ khởi phát muộn ở nhóm người tập tại nhà: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00027,DOMS,Đau nhức cơ khởi phát muộn,home_trainee,Người tập tại nhà,recovery,Hồi phục,"Đau nhức cơ khởi phát muộn ở nhóm người tập tại nhà: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00028,DOMS,Đau nhức cơ khởi phát muộn,home_trainee,Người tập tại nhà,nutrition,Dinh dưỡng,"Đau nhức cơ khởi phát muộn ở nhóm người tập tại nhà: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00029,DOMS,Đau nhức cơ khởi phát muộn,home_trainee,Người tập tại nhà,load_management,Quản lý tải,Đau nhức cơ khởi phát muộn ở nhóm người tập tại nhà: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.,general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00030,DOMS,Đau nhức cơ khởi phát muộn,home_trainee,Người tập tại nhà,warning_signs,Dấu hiệu cần thận trọng,"Đau nhức cơ khởi phát muộn ở nhóm người tập tại nhà: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00031,DOMS,Đau nhức cơ khởi phát muộn,strength_athlete,Người ưu tiên sức mạnh,training_modification,Điều chỉnh bài tập,"Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên sức mạnh: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00032,DOMS,Đau nhức cơ khởi phát muộn,strength_athlete,Người ưu tiên sức mạnh,recovery,Hồi phục,"Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên sức mạnh: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00033,DOMS,Đau nhức cơ khởi phát muộn,strength_athlete,Người ưu tiên sức mạnh,nutrition,Dinh dưỡng,"Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên sức mạnh: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00034,DOMS,Đau nhức cơ khởi phát muộn,strength_athlete,Người ưu tiên sức mạnh,load_management,Quản lý tải,Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên sức mạnh: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.,general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00035,DOMS,Đau nhức cơ khởi phát muộn,strength_athlete,Người ưu tiên sức mạnh,warning_signs,Dấu hiệu cần thận trọng,"Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên sức mạnh: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00036,DOMS,Đau nhức cơ khởi phát muộn,hypertrophy_trainee,Người ưu tiên tăng cơ,training_modification,Điều chỉnh bài tập,"Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên tăng cơ: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00037,DOMS,Đau nhức cơ khởi phát muộn,hypertrophy_trainee,Người ưu tiên tăng cơ,recovery,Hồi phục,"Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên tăng cơ: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00038,DOMS,Đau nhức cơ khởi phát muộn,hypertrophy_trainee,Người ưu tiên tăng cơ,nutrition,Dinh dưỡng,"Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên tăng cơ: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00039,DOMS,Đau nhức cơ khởi phát muộn,hypertrophy_trainee,Người ưu tiên tăng cơ,load_management,Quản lý tải,Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên tăng cơ: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.,general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00040,DOMS,Đau nhức cơ khởi phát muộn,hypertrophy_trainee,Người ưu tiên tăng cơ,warning_signs,Dấu hiệu cần thận trọng,"Đau nhức cơ khởi phát muộn ở nhóm người ưu tiên tăng cơ: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00041,knee_pain,Đau gối nhẹ,office_worker,Dân văn phòng,training_modification,Điều chỉnh bài tập,"Đau gối nhẹ ở nhóm dân văn phòng: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00042,knee_pain,Đau gối nhẹ,office_worker,Dân văn phòng,recovery,Hồi phục,"Đau gối nhẹ ở nhóm dân văn phòng: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00043,knee_pain,Đau gối nhẹ,office_worker,Dân văn phòng,nutrition,Dinh dưỡng,"Đau gối nhẹ ở nhóm dân văn phòng: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00044,knee_pain,Đau gối nhẹ,office_worker,Dân văn phòng,load_management,Quản lý tải,"Đau gối nhẹ ở nhóm dân văn phòng: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00045,knee_pain,Đau gối nhẹ,office_worker,Dân văn phòng,warning_signs,Dấu hiệu cần thận trọng,"Đau gối nhẹ ở nhóm dân văn phòng: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00046,knee_pain,Đau gối nhẹ,student,Sinh viên,training_modification,Điều chỉnh bài tập,"Đau gối nhẹ ở nhóm sinh viên: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00047,knee_pain,Đau gối nhẹ,student,Sinh viên,recovery,Hồi phục,"Đau gối nhẹ ở nhóm sinh viên: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00048,knee_pain,Đau gối nhẹ,student,Sinh viên,nutrition,Dinh dưỡng,"Đau gối nhẹ ở nhóm sinh viên: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00049,knee_pain,Đau gối nhẹ,student,Sinh viên,load_management,Quản lý tải,"Đau gối nhẹ ở nhóm sinh viên: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00050,knee_pain,Đau gối nhẹ,student,Sinh viên,warning_signs,Dấu hiệu cần thận trọng,"Đau gối nhẹ ở nhóm sinh viên: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00051,knee_pain,Đau gối nhẹ,busy_parent,Người bận rộn,training_modification,Điều chỉnh bài tập,"Đau gối nhẹ ở nhóm người bận rộn: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00052,knee_pain,Đau gối nhẹ,busy_parent,Người bận rộn,recovery,Hồi phục,"Đau gối nhẹ ở nhóm người bận rộn: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00053,knee_pain,Đau gối nhẹ,busy_parent,Người bận rộn,nutrition,Dinh dưỡng,"Đau gối nhẹ ở nhóm người bận rộn: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00054,knee_pain,Đau gối nhẹ,busy_parent,Người bận rộn,load_management,Quản lý tải,"Đau gối nhẹ ở nhóm người bận rộn: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00055,knee_pain,Đau gối nhẹ,busy_parent,Người bận rộn,warning_signs,Dấu hiệu cần thận trọng,"Đau gối nhẹ ở nhóm người bận rộn: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00056,knee_pain,Đau gối nhẹ,overweight_beginner,Người thừa cân mới tập,training_modification,Điều chỉnh bài tập,"Đau gối nhẹ ở nhóm người thừa cân mới tập: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00057,knee_pain,Đau gối nhẹ,overweight_beginner,Người thừa cân mới tập,recovery,Hồi phục,"Đau gối nhẹ ở nhóm người thừa cân mới tập: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00058,knee_pain,Đau gối nhẹ,overweight_beginner,Người thừa cân mới tập,nutrition,Dinh dưỡng,"Đau gối nhẹ ở nhóm người thừa cân mới tập: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00059,knee_pain,Đau gối nhẹ,overweight_beginner,Người thừa cân mới tập,load_management,Quản lý tải,"Đau gối nhẹ ở nhóm người thừa cân mới tập: Ưu tiên ROM không đau, bài kiểm soát hông-gối và tải tăng từ từ. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
