faq_id,category,topic,question_vi,answer_vi,tags,difficulty_scope,related_exercise_id,related_plan_id,source_group
FAQ000022,exercise_technique,mistakes,Lỗi thường gặp khi tập Đẩy ngực dốc lên với tạ đơn là gì?,"Các lỗi hay gặp ở Đẩy ngực dốc lên với tạ đơn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực dốc lên với tạ đơn,intermediate,EX00006,,synthetic_knowledge
FAQ000023,exercise_programming,sets_reps,Nên tập Đẩy ngực dốc lên với tạ đơn bao nhiêu set và rep?,"Với mục tiêu tăng cơ, Đẩy ngực dốc lên với tạ đơn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 75 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực dốc lên với tạ đơn|programming,intermediate,EX00006,,synthetic_knowledge
FAQ000024,exercise_modification,substitution,"Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực dốc lên với tạ đơn bằng gì?","Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực dốc lên với tạ đơn|Tạ đơn, Ghế tập",intermediate,EX00006,,synthetic_knowledge
FAQ000025,exercise_technique,form,Cách tập đúng bài Đẩy ngực dốc lên với máy là gì?,"Đẩy ngực dốc lên với máy chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực dốc lên với máy|Ngực,beginner,EX00007,,synthetic_knowledge
FAQ000026,exercise_technique,mistakes,Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy là gì?,"Các lỗi hay gặp ở Đẩy ngực dốc lên với máy gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực dốc lên với máy,beginner,EX00007,,synthetic_knowledge
FAQ000027,exercise_programming,sets_reps,Nên tập Đẩy ngực dốc lên với máy bao nhiêu set và rep?,"Với mục tiêu tăng cơ, Đẩy ngực dốc lên với máy thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 75 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực dốc lên với máy|programming,beginner,EX00007,,synthetic_knowledge
FAQ000028,exercise_modification,substitution,"Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực dốc lên với máy bằng gì?","Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực dốc lên với máy|Máy tập, Ghế tập",beginner,EX00007,,synthetic_knowledge
FAQ000029,exercise_technique,form,Cách tập đúng bài Đẩy ngực dốc lên với máy smith là gì?,"Đẩy ngực dốc lên với máy smith chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực dốc lên với máy smith|Ngực,beginner,EX00008,,synthetic_knowledge
FAQ000030,exercise_technique,mistakes,Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy smith là gì?,"Các lỗi hay gặp ở Đẩy ngực dốc lên với máy smith gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực dốc lên với máy smith,beginner,EX00008,,synthetic_knowledge
FAQ000031,exercise_programming,sets_reps,Nên tập Đẩy ngực dốc lên với máy smith bao nhiêu set và rep?,"Với mục tiêu tăng cơ, Đẩy ngực dốc lên với máy smith thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 90 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực dốc lên với máy smith|programming,beginner,EX00008,,synthetic_knowledge
FAQ000032,exercise_modification,substitution,"Nếu không có máy smith, ghế tập thì thay bài Đẩy ngực dốc lên với máy smith bằng gì?","Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực dốc lên với máy smith|Máy smith, Ghế tập",beginner,EX00008,,synthetic_knowledge
FAQ000033,exercise_technique,form,Cách tập đúng bài Đẩy ngực dốc xuống với tạ đòn là gì?,"Đẩy ngực dốc xuống với tạ đòn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế dốc xuống, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực dốc xuống với tạ đòn|Ngực,intermediate,EX00009,,synthetic_knowledge
FAQ000034,exercise_technique,mistakes,Lỗi thường gặp khi tập Đẩy ngực dốc xuống với tạ đòn là gì?,"Các lỗi hay gặp ở Đẩy ngực dốc xuống với tạ đòn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực dốc xuống với tạ đòn,intermediate,EX00009,,synthetic_knowledge
FAQ000035,exercise_programming,sets_reps,Nên tập Đẩy ngực dốc xuống với tạ đòn bao nhiêu set và rep?,"Với mục tiêu tăng cơ, Đẩy ngực dốc xuống với tạ đòn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 90 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực dốc xuống với tạ đòn|programming,intermediate,EX00009,,synthetic_knowledge
FAQ000036,exercise_modification,substitution,"Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực dốc xuống với tạ đòn bằng gì?","Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực dốc xuống với tạ đòn|Tạ đòn, Ghế tập",intermediate,EX00009,,synthetic_knowledge
FAQ000037,exercise_technique,form,Cách tập đúng bài Đẩy ngực dốc xuống với tạ đơn là gì?,"Đẩy ngực dốc xuống với tạ đơn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế dốc xuống, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực dốc xuống với tạ đơn|Ngực,intermediate,EX00010,,synthetic_knowledge
FAQ000038,exercise_technique,mistakes,Lỗi thường gặp khi tập Đẩy ngực dốc xuống với tạ đơn là gì?,"Các lỗi hay gặp ở Đẩy ngực dốc xuống với tạ đơn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực dốc xuống với tạ đơn,intermediate,EX00010,,synthetic_knowledge
FAQ000039,exercise_programming,sets_reps,Nên tập Đẩy ngực dốc xuống với tạ đơn bao nhiêu set và rep?,"Với mục tiêu tăng cơ, Đẩy ngực dốc xuống với tạ đơn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 75 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực dốc xuống với tạ đơn|programming,intermediate,EX00010,,synthetic_knowledge
FAQ000040,exercise_modification,substitution,"Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực dốc xuống với tạ đơn bằng gì?","Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực dốc xuống với tạ đơn|Tạ đơn, Ghế tập",intermediate,EX00010,,synthetic_knowledge
FAQ000041,exercise_technique,form,Cách tập đúng bài Đẩy ngực dốc xuống với máy là gì?,"Đẩy ngực dốc xuống với máy chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế dốc xuống, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực dốc xuống với máy|Ngực,beginner,EX00011,,synthetic_knowledge
FAQ000042,exercise_technique,mistakes,Lỗi thường gặp khi tập Đẩy ngực dốc xuống với máy là gì?,"Các lỗi hay gặp ở Đẩy ngực dốc xuống với máy gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực dốc xuống với máy,beginner,EX00011,,synthetic_knowledge
FAQ000043,exercise_programming,sets_reps,Nên tập Đẩy ngực dốc xuống với máy bao nhiêu set và rep?,"Với mục tiêu tăng cơ, Đẩy ngực dốc xuống với máy thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 75 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực dốc xuống với máy|programming,beginner,EX00011,,synthetic_knowledge
FAQ000044,exercise_modification,substitution,"Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực dốc xuống với máy bằng gì?","Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực dốc xuống với máy|Máy tập, Ghế tập",beginner,EX00011,,synthetic_knowledge
