[0.560] @(82, 40) nBody
[0.920] @(383, 1073) Lean
[0.960] @(419, 1074) Mass
[0.800] @(803, 1057) Fat
[0.710] @(830, 1056) Mass.
[0.370] @(382, 1087) Eaton
[0.260] @(805, 1090) Basten
[0.770] @(912, 1093) Calorie
[0.960] @(996, 1085) Expenditure
[0.970] @(1142, 1081) of
[0.260] @(1175, 1085) Exercise
[0.960] @(70, 1134) Segmental
[0.950] @(213, 1133) Lean
[0.950] @(283, 1128) Analysis
[0.960] @(491, 1122) Segmental
[0.960] @(630, 1122) Fat
[0.730] @(679, 1118) Analysis
[0.560] @(794, 1151) _
[0.590] @(915, 1112) Got
[0.640] @(1287, 1120) 141
[0.320] @(572, 1158) re
[0.960] @(911, 1150) Walking
[0.950] @(1291, 1153) 155
[0.660] @(918, 1189) Badminton
[0.790] @(1294, 1184) 115
[0.950] @(919, 1221) Tennis
[0.950] @(1298, 1215) 232
[0.620] @(922, 1259) Boxing
[0.940] @(1303, 1247) 232
[0.930] @(924, 1277) Mountain
[0.680] @(1002, 1277) Climicing
[0.770] @(1308, 1280) 21
[0.560] @(922, 1317) Aerobics
[0.450] @(1312, 1314) 21
[0.830] @(929, 1356) Soccer
[0.530] @(1316, 1348) 2m
[0.940] @(932, 1383) Japanese
[0.750] @(1015, 1383) Fencing
[0.700] @(1102, 1387) 387|Racketbell
[0.910] @(1320, 1382) 387
[0.960] @(934, 1413) Squash
[0.900] @(1324, 1416) 387
[0.110] @(936, 1457) Based
[0.960] @(998, 1457) on
[0.940] @(1022, 1457) your
[0.940] @(1057, 1457) current
[0.950] @(1116, 1457) weight
[0.590] @(938, 1488) Based
[0.960] @(1002, 1484) on
[0.950] @(1024, 1484) 30
[0.960] @(1047, 1484) minute
[0.960] @(1101, 1488) duration
[0.870] @(941, 1523) Results
[0.940] @(1034, 1523) Interpretation
[0.920] @(1199, 1523) QR
[0.820] @(1238, 1523) Code-
[0.700] @(939, 1560) Scan
[0.960] @(992, 1560) the
[0.960] @(1029, 1564) QR
[0.960] @(1059, 1560) Code
[0.960] @(1105, 1560) to
[0.940] @(1132, 1560) see
[0.060] @(1209, 1557) Bl
[0.960] @(940, 1594) results
[0.950] @(1006, 1594) interpretation
[0.950] @(1122, 1594) in
[0.950] @(942, 1627) more
[0.240] @(998, 1627) detail,
[0.360] @(1056, 1658) —
[0.860] @(1151, 1789) LA
[0.640] @(963, 1808) Za)
[0.950] @(1014, 1822) 20
[0.240] @(1038, 1817) hea
[0.820] @(1124, 1822) 1
[0.820] @(1143, 1819) 259.3
[0.920] @(1005, 1844) 100
[0.230] @(1047, 1844) aiz|
[0.700] @(1084, 1844) 235.
[0.940] @(1127, 1844) 0
[0.800] @(1146, 1848) 230.0
