exercise_id,exercise_name_vi,exercise_name_en,aliases_vi,category,subcategory,movement_pattern,primary_muscles,primary_muscles_vi,secondary_muscles,secondary_muscles_vi,equipment,equipment_vi,difficulty,difficulty_vi,mechanics,is_unilateral,is_compound,force_type,setup,execution_steps,breathing,common_errors,regressions,progressions,contraindications,hypertrophy_rep_range,strength_rep_range,endurance_rep_range,rest_seconds_default,tempo_default,tags
EX00011,Đẩy ngực dốc xuống với máy,Decline Machine Bench Press,bench press dốc xuống; đẩy ngực máy,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",machine|bench,"Máy tập, Ghế tập",beginner,Mới bắt đầu,controlled,False,True,push,"Thiết lập ghế dốc xuống, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,75,3-1-1-0,ngực|đẩy ngang|machine|compound
EX00012,Đẩy ngực dốc xuống với máy smith,Decline Smith Machine Bench Press,bench press dốc xuống; đẩy ngực máy smith,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",smith_machine|bench,"Máy smith, Ghế tập",beginner,Mới bắt đầu,controlled,False,True,push,"Thiết lập ghế dốc xuống, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,90,3-1-1-0,ngực|đẩy ngang|smith_machine|compound
EX00013,Hít đất cơ bản,Push-Up,push-up; chống đẩy cơ bản,strength,push_up,horizontal_push,chest,Ngực,front_delts|triceps|core,"Vai trước, Tay sau, Core",bodyweight,Trọng lượng cơ thể,beginner,Mới bắt đầu,controlled,False,True,push,"Đặt tay dưới hoặc hơi rộng hơn vai, thân người thành một đường thẳng, siết bụng và mông.","Hạ người đến khi ngực gần chạm sàn hoặc điểm chuẩn, đẩy mạnh lên mà không võng lưng.","Hít vào khi hạ, thở ra khi đẩy lên.",Võng lưng; đầu chúi xuống; khuỷu tay xoè quá rộng; ROM quá ngắn.,"Tập incline push-up, chống gối hoặc giảm ROM.","Thêm tempo chậm, thêm dây kháng lực, thêm pause ở đáy.",Cẩn trọng nếu đau cổ tay hoặc vai trước.,8-20,5-10,15-30,45,2-1-1-0,ngực|bodyweight|push-up|core
EX00014,Hít đất rộng tay,Wide Push-Up,push-up rộng; wide push-up,strength,push_up,horizontal_push,chest,Ngực,front_delts|triceps|core,"Vai trước, Tay sau, Core",bodyweight,Trọng lượng cơ thể,intermediate,Trung cấp,controlled,False,True,push,"Đặt tay dưới hoặc hơi rộng hơn vai, thân người thành một đường thẳng, siết bụng và mông.","Hạ người đến khi ngực gần chạm sàn hoặc điểm chuẩn, đẩy mạnh lên mà không võng lưng.","Hít vào khi hạ, thở ra khi đẩy lên.",Võng lưng; đầu chúi xuống; khuỷu tay xoè quá rộng; ROM quá ngắn.,"Tập incline push-up, chống gối hoặc giảm ROM.","Thêm tempo chậm, thêm dây kháng lực, thêm pause ở đáy.",Cẩn trọng nếu đau cổ tay hoặc vai trước.,8-20,5-10,15-30,45,2-1-1-0,ngực|bodyweight|push-up|core
EX00015,Hít đất hẹp tay,Close-Grip Push-Up,diamond push-up; hít đất tay hẹp,strength,push_up,horizontal_push,chest,Ngực,front_delts|triceps|core,"Vai trước, Tay sau, Core",bodyweight,Trọng lượng cơ thể,intermediate,Trung cấp,controlled,False,True,push,"Đặt tay dưới hoặc hơi rộng hơn vai, thân người thành một đường thẳng, siết bụng và mông.","Hạ người đến khi ngực gần chạm sàn hoặc điểm chuẩn, đẩy mạnh lên mà không võng lưng.","Hít vào khi hạ, thở ra khi đẩy lên.",Võng lưng; đầu chúi xuống; khuỷu tay xoè quá rộng; ROM quá ngắn.,"Tập incline push-up, chống gối hoặc giảm ROM.","Thêm tempo chậm, thêm dây kháng lực, thêm pause ở đáy.",Cẩn trọng nếu đau cổ tay hoặc vai trước.,8-20,5-10,15-30,45,2-1-1-0,ngực|bodyweight|push-up|core
EX00016,Hít đất kê cao tay,Incline Push-Up,hít đất dễ; incline push-up,strength,push_up,horizontal_push,chest,Ngực,front_delts|triceps|core,"Vai trước, Tay sau, Core",bodyweight|bench,"Trọng lượng cơ thể, Ghế tập",beginner,Mới bắt đầu,controlled,False,True,push,"Đặt tay dưới hoặc hơi rộng hơn vai, thân người thành một đường thẳng, siết bụng và mông.","Hạ người đến khi ngực gần chạm sàn hoặc điểm chuẩn, đẩy mạnh lên mà không võng lưng.","Hít vào khi hạ, thở ra khi đẩy lên.",Võng lưng; đầu chúi xuống; khuỷu tay xoè quá rộng; ROM quá ngắn.,"Tập incline push-up, chống gối hoặc giảm ROM.","Thêm tempo chậm, thêm dây kháng lực, thêm pause ở đáy.",Cẩn trọng nếu đau cổ tay hoặc vai trước.,8-20,5-10,15-30,45,2-1-1-0,ngực|bodyweight|push-up|core
EX00017,Hít đất chân kê cao,Decline Push-Up,decline push-up; hít đất khó,strength,push_up,horizontal_push,chest,Ngực,front_delts|triceps|core,"Vai trước, Tay sau, Core",bodyweight|bench,"Trọng lượng cơ thể, Ghế tập",intermediate,Trung cấp,controlled,False,True,push,"Đặt tay dưới hoặc hơi rộng hơn vai, thân người thành một đường thẳng, siết bụng và mông.","Hạ người đến khi ngực gần chạm sàn hoặc điểm chuẩn, đẩy mạnh lên mà không võng lưng.","Hít vào khi hạ, thở ra khi đẩy lên.",Võng lưng; đầu chúi xuống; khuỷu tay xoè quá rộng; ROM quá ngắn.,"Tập incline push-up, chống gối hoặc giảm ROM.","Thêm tempo chậm, thêm dây kháng lực, thêm pause ở đáy.",Cẩn trọng nếu đau cổ tay hoặc vai trước.,8-20,5-10,15-30,45,2-1-1-0,ngực|bodyweight|push-up|core
EX00018,Hít đất với dây kháng lực,Band-Resisted Push-Up,push-up band; hít đất dây,strength,push_up,horizontal_push,chest,Ngực,front_delts|triceps|core,"Vai trước, Tay sau, Core",bodyweight|resistance_band,"Trọng lượng cơ thể, Dây kháng lực",advanced,Nâng cao,controlled,False,True,push,"Đặt tay dưới hoặc hơi rộng hơn vai, thân người thành một đường thẳng, siết bụng và mông.","Hạ người đến khi ngực gần chạm sàn hoặc điểm chuẩn, đẩy mạnh lên mà không võng lưng.","Hít vào khi hạ, thở ra khi đẩy lên.",Võng lưng; đầu chúi xuống; khuỷu tay xoè quá rộng; ROM quá ngắn.,"Tập incline push-up, chống gối hoặc giảm ROM.","Thêm tempo chậm, thêm dây kháng lực, thêm pause ở đáy.",Cẩn trọng nếu đau cổ tay hoặc vai trước.,8-20,5-10,15-30,45,2-1-1-0,ngực|bodyweight|push-up|core
EX00019,Dumbbell Fly phẳng,Flat Dumbbell Fly,fly tạ đơn ngực,strength,chest_fly,horizontal_push,chest,Ngực,front_delts,Vai trước,dumbbell|bench,"Tạ đơn, Ghế tập",intermediate,Trung cấp,controlled,False,False,push,"Giữ bả vai ổn định, khuỷu tay hơi cong và ngực mở.","Mở tay có kiểm soát đến mức vai vẫn ổn, sau đó khép vòng cung để siết ngực ở cuối biên độ.","Hít vào khi mở tay, thở ra khi khép tay.",Duỗi thẳng khuỷu tay; hạ quá sâu gây căng vai; kéo bằng vai trước thay vì ép ngực.,Dùng máy pec deck hoặc giảm biên độ.,"Thêm 1 giây siết đỉnh, tăng time under tension.",Không phù hợp khi vai trước đang kích ứng mạnh.,10-15,6-10,15-20,60,3-1-1-1,ngực|isolation|fly
EX00020,Dumbbell Fly dốc lên,Incline Dumbbell Fly,fly incline ngực,strength,chest_fly,horizontal_push,chest,Ngực,front_delts,Vai trước,dumbbell|bench,"Tạ đơn, Ghế tập",intermediate,Trung cấp,controlled,False,False,push,"Giữ bả vai ổn định, khuỷu tay hơi cong và ngực mở.","Mở tay có kiểm soát đến mức vai vẫn ổn, sau đó khép vòng cung để siết ngực ở cuối biên độ.","Hít vào khi mở tay, thở ra khi khép tay.",Duỗi thẳng khuỷu tay; hạ quá sâu gây căng vai; kéo bằng vai trước thay vì ép ngực.,Dùng máy pec deck hoặc giảm biên độ.,"Thêm 1 giây siết đỉnh, tăng time under tension.",Không phù hợp khi vai trước đang kích ứng mạnh.,10-15,6-10,15-20,60,3-1-1-1,ngực|isolation|fly
EX00021,Cable Fly thấp lên cao,Low-to-High Cable Fly,cable fly ngực trên,strength,chest_fly,horizontal_push,upper_chest,Ngực trên,front_delts,Vai trước,cable,Cáp,intermediate,Trung cấp,controlled,False,False,push,"Giữ bả vai ổn định, khuỷu tay hơi cong và ngực mở.","Mở tay có kiểm soát đến mức vai vẫn ổn, sau đó khép vòng cung để siết ngực ở cuối biên độ.","Hít vào khi mở tay, thở ra khi khép tay.",Duỗi thẳng khuỷu tay; hạ quá sâu gây căng vai; kéo bằng vai trước thay vì ép ngực.,Dùng máy pec deck hoặc giảm biên độ.,"Thêm 1 giây siết đỉnh, tăng time under tension.",Không phù hợp khi vai trước đang kích ứng mạnh.,10-15,6-10,15-20,60,3-1-1-1,ngực|isolation|fly
EX00022,Cable Fly cao xuống thấp,High-to-Low Cable Fly,cable fly ngực dưới,strength,chest_fly,horizontal_push,lower_chest,Ngực dưới,front_delts,Vai trước,cable,Cáp,intermediate,Trung cấp,controlled,False,False,push,"Giữ bả vai ổn định, khuỷu tay hơi cong và ngực mở.","Mở tay có kiểm soát đến mức vai vẫn ổn, sau đó khép vòng cung để siết ngực ở cuối biên độ.","Hít vào khi mở tay, thở ra khi khép tay.",Duỗi thẳng khuỷu tay; hạ quá sâu gây căng vai; kéo bằng vai trước thay vì ép ngực.,Dùng máy pec deck hoặc giảm biên độ.,"Thêm 1 giây siết đỉnh, tăng time under tension.",Không phù hợp khi vai trước đang kích ứng mạnh.,10-15,6-10,15-20,60,3-1-1-1,ngực|isolation|fly
EX00023,Machine Pec Deck,Pec Deck,pec deck; máy ép ngực,strength,chest_fly,horizontal_push,chest,Ngực,front_delts,Vai trước,machine,Máy tập,intermediate,Trung cấp,controlled,False,False,push,"Giữ bả vai ổn định, khuỷu tay hơi cong và ngực mở.","Mở tay có kiểm soát đến mức vai vẫn ổn, sau đó khép vòng cung để siết ngực ở cuối biên độ.","Hít vào khi mở tay, thở ra khi khép tay.",Duỗi thẳng khuỷu tay; hạ quá sâu gây căng vai; kéo bằng vai trước thay vì ép ngực.,Dùng máy pec deck hoặc giảm biên độ.,"Thêm 1 giây siết đỉnh, tăng time under tension.",Không phù hợp khi vai trước đang kích ứng mạnh.,10-15,6-10,15-20,60,3-1-1-1,ngực|isolation|fly
EX00024,Đẩy vai đứng với tạ đòn,Standing Barbell Overhead Press,overhead press; shoulder press; đẩy vai tạ đòn,strength,shoulder_press,vertical_push,front_delts,Vai trước,triceps|side_delts|upper_back,"Tay sau, Vai giữa, Lưng trên",barbell,Tạ đòn,intermediate,Trung cấp,controlled,False,True,push,"Siết mông, siết bụng, xếp xương sườn gọn, khuỷu tay hơi trước thân.","Đẩy tạ lên theo đường thẳng hoặc hơi cong tự nhiên, đầu tránh đường tạ rồi trở về vị trí trung tính ở đỉnh.","Hít vào trước khi đẩy, giữ ổn định thân, thở ra gần đỉnh.",Ưỡn lưng quá mức; quỹ đạo ra trước; khóa khuỷu tay quá gắt; vai nhún cao.,Dùng máy shoulder press hoặc giảm ROM.,"Tăng tải, thêm set, dùng biến thể đứng với tạ đòn.",Cẩn trọng nếu đau vai khi đưa tay qua đầu hoặc đau lưng dưới.,6-12,3-6,12-20,90,2-1-1-0,vai|vertical_push|compound
EX00025,Đẩy vai đứng với tạ đơn,Standing Dumbbell Overhead Press,overhead press; shoulder press; đẩy vai tạ đơn,strength,shoulder_press,vertical_push,front_delts,Vai trước,triceps|side_delts|upper_back,"Tay sau, Vai giữa, Lưng trên",dumbbell,Tạ đơn,intermediate,Trung cấp,controlled,False,True,push,"Siết mông, siết bụng, xếp xương sườn gọn, khuỷu tay hơi trước thân.","Đẩy tạ lên theo đường thẳng hoặc hơi cong tự nhiên, đầu tránh đường tạ rồi trở về vị trí trung tính ở đỉnh.","Hít vào trước khi đẩy, giữ ổn định thân, thở ra gần đỉnh.",Ưỡn lưng quá mức; quỹ đạo ra trước; khóa khuỷu tay quá gắt; vai nhún cao.,Dùng máy shoulder press hoặc giảm ROM.,"Tăng tải, thêm set, dùng biến thể đứng với tạ đòn.",Cẩn trọng nếu đau vai khi đưa tay qua đầu hoặc đau lưng dưới.,6-12,3-6,12-20,75,2-1-1-0,vai|vertical_push|compound
EX00026,Đẩy vai đứng với máy,Standing Machine Overhead Press,overhead press; shoulder press; đẩy vai máy,strength,shoulder_press,vertical_push,front_delts,Vai trước,triceps|side_delts|upper_back,"Tay sau, Vai giữa, Lưng trên",machine,Máy tập,beginner,Mới bắt đầu,controlled,False,True,push,"Siết mông, siết bụng, xếp xương sườn gọn, khuỷu tay hơi trước thân.","Đẩy tạ lên theo đường thẳng hoặc hơi cong tự nhiên, đầu tránh đường tạ rồi trở về vị trí trung tính ở đỉnh.","Hít vào trước khi đẩy, giữ ổn định thân, thở ra gần đỉnh.",Ưỡn lưng quá mức; quỹ đạo ra trước; khóa khuỷu tay quá gắt; vai nhún cao.,Dùng máy shoulder press hoặc giảm ROM.,"Tăng tải, thêm set, dùng biến thể đứng với tạ đòn.",Cẩn trọng nếu đau vai khi đưa tay qua đầu hoặc đau lưng dưới.,6-12,3-6,12-20,75,2-1-1-0,vai|vertical_push|compound
EX00027,Đẩy vai đứng với máy smith,Standing Smith Machine Overhead Press,overhead press; shoulder press; đẩy vai máy smith,strength,shoulder_press,vertical_push,front_delts,Vai trước,triceps|side_delts|upper_back,"Tay sau, Vai giữa, Lưng trên",smith_machine,Máy smith,intermediate,Trung cấp,controlled,False,True,push,"Siết mông, siết bụng, xếp xương sườn gọn, khuỷu tay hơi trước thân.","Đẩy tạ lên theo đường thẳng hoặc hơi cong tự nhiên, đầu tránh đường tạ rồi trở về vị trí trung tính ở đỉnh.","Hít vào trước khi đẩy, giữ ổn định thân, thở ra gần đỉnh.",Ưỡn lưng quá mức; quỹ đạo ra trước; khóa khuỷu tay quá gắt; vai nhún cao.,Dùng máy shoulder press hoặc giảm ROM.,"Tăng tải, thêm set, dùng biến thể đứng với tạ đòn.",Cẩn trọng nếu đau vai khi đưa tay qua đầu hoặc đau lưng dưới.,6-12,3-6,12-20,75,2-1-1-0,vai|vertical_push|compound
EX00028,Đẩy vai ngồi với tạ đòn,Seated Barbell Overhead Press,overhead press; shoulder press; đẩy vai tạ đòn,strength,shoulder_press,vertical_push,front_delts,Vai trước,triceps|side_delts|upper_back,"Tay sau, Vai giữa, Lưng trên",barbell,Tạ đòn,intermediate,Trung cấp,controlled,False,True,push,"Siết mông, siết bụng, xếp xương sườn gọn, khuỷu tay hơi trước thân.","Đẩy tạ lên theo đường thẳng hoặc hơi cong tự nhiên, đầu tránh đường tạ rồi trở về vị trí trung tính ở đỉnh.","Hít vào trước khi đẩy, giữ ổn định thân, thở ra gần đỉnh.",Ưỡn lưng quá mức; quỹ đạo ra trước; khóa khuỷu tay quá gắt; vai nhún cao.,Dùng máy shoulder press hoặc giảm ROM.,"Tăng tải, thêm set, dùng biến thể đứng với tạ đòn.",Cẩn trọng nếu đau vai khi đưa tay qua đầu hoặc đau lưng dưới.,6-12,3-6,12-20,90,2-1-1-0,vai|vertical_push|compound
