plan_day_id,plan_id,day_number,day_title_vi,focus,warmup,cooldown,intensity_note
WPD00037,WP0011,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00038,WP0011,4,Ngày 4 - Lower + Core,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00039,WP0012,1,Ngày 1 - Upper Push,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00040,WP0012,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00041,WP0012,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00042,WP0012,4,Ngày 4 - Lower + Core,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00043,WP0013,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00044,WP0013,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00045,WP0013,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00046,WP0014,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00047,WP0014,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00048,WP0014,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00049,WP0015,1,Ngày 1 - Upper,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00050,WP0015,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00051,WP0015,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00052,WP0015,4,Ngày 4 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00053,WP0016,1,Ngày 1 - Upper,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00054,WP0016,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00055,WP0016,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00056,WP0016,4,Ngày 4 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00057,WP0017,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00058,WP0017,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00059,WP0017,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00060,WP0018,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00061,WP0018,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00062,WP0018,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00063,WP0019,1,Ngày 1 - Upper,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00064,WP0019,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00065,WP0019,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00066,WP0019,4,Ngày 4 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00067,WP0020,1,Ngày 1 - Upper,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00068,WP0020,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00069,WP0020,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00070,WP0020,4,Ngày 4 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00071,WP0021,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00072,WP0021,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00073,WP0021,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00074,WP0022,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00075,WP0022,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00076,WP0022,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00077,WP0023,1,Ngày 1 - Upper,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00078,WP0023,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00079,WP0023,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00080,WP0023,4,Ngày 4 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00081,WP0024,1,Ngày 1 - Upper,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00082,WP0024,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00083,WP0024,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00084,WP0024,4,Ngày 4 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00085,WP0025,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00086,WP0025,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00087,WP0025,3,Ngày 3 - Full Body C,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00088,WP0026,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00089,WP0026,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00090,WP0026,3,Ngày 3 - Full Body C,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00091,WP0027,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00092,WP0027,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00093,WP0027,3,Ngày 3 - Full Body C,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00094,WP0028,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00095,WP0028,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00096,WP0028,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00097,WP0029,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00098,WP0029,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00099,WP0029,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00100,WP0030,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00101,WP0030,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00102,WP0030,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00103,WP0031,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00104,WP0031,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00105,WP0031,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00106,WP0032,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
