plan_exercise_id,plan_day_id,plan_id,exercise_order,exercise_id,sets,reps,rir_target,rest_seconds,tempo,superset_group,note
WPE000024,WPD00005,WP0002,1,EX00073,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000025,WPD00005,WP0002,2,EX00090,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000026,WPD00005,WP0002,3,EX00137,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000027,WPD00005,WP0002,4,EX00064,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000028,WPD00005,WP0002,5,EX00105,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000029,WPD00005,WP0002,6,EX00116,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000030,WPD00006,WP0002,1,EX00116,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000031,WPD00006,WP0002,2,EX00107,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000032,WPD00006,WP0002,3,EX00115,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000033,WPD00006,WP0002,4,EX00192,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000034,WPD00006,WP0002,5,EX00112,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000035,WPD00007,WP0003,1,EX00003,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000036,WPD00007,WP0003,2,EX00142,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000037,WPD00007,WP0003,3,EX00030,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000038,WPD00007,WP0003,4,EX00035,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000039,WPD00007,WP0003,5,EX00008,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000040,WPD00007,WP0003,6,EX00025,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000041,WPD00008,WP0003,1,EX00074,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000042,WPD00008,WP0003,2,EX00166,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000043,WPD00008,WP0003,3,EX00087,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000044,WPD00008,WP0003,4,EX00171,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000045,WPD00008,WP0003,5,EX00170,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000046,WPD00008,WP0003,6,EX00092,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000047,WPD00009,WP0003,1,EX00154,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000048,WPD00009,WP0003,2,EX00055,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000049,WPD00009,WP0003,3,EX00047,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000050,WPD00009,WP0003,4,EX00039,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000051,WPD00009,WP0003,5,EX00057,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000052,WPD00009,WP0003,6,EX00061,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000053,WPD00010,WP0003,1,EX00074,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000054,WPD00010,WP0003,2,EX00190,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000055,WPD00010,WP0003,3,EX00083,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000056,WPD00010,WP0003,4,EX00075,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000057,WPD00010,WP0003,5,EX00093,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000058,WPD00010,WP0003,6,EX00086,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000059,WPD00011,WP0004,1,EX00139,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000060,WPD00011,WP0004,2,EX00021,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000061,WPD00011,WP0004,3,EX00004,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000062,WPD00011,WP0004,4,EX00015,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000063,WPD00011,WP0004,5,EX00003,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000064,WPD00011,WP0004,6,EX00142,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000065,WPD00012,WP0004,1,EX00094,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000066,WPD00012,WP0004,2,EX00086,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000067,WPD00012,WP0004,3,EX00073,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000068,WPD00012,WP0004,4,EX00082,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000069,WPD00012,WP0004,5,EX00167,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000070,WPD00012,WP0004,6,EX00181,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000071,WPD00013,WP0004,1,EX00063,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000072,WPD00013,WP0004,2,EX00056,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000073,WPD00013,WP0004,3,EX00149,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000074,WPD00013,WP0004,4,EX00068,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000075,WPD00013,WP0004,5,EX00147,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000076,WPD00013,WP0004,6,EX00052,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000077,WPD00014,WP0004,1,EX00085,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000078,WPD00014,WP0004,2,EX00077,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000079,WPD00014,WP0004,3,EX00084,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000080,WPD00014,WP0004,4,EX00183,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000081,WPD00014,WP0004,5,EX00166,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000082,WPD00014,WP0004,6,EX00103,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000083,WPD00015,WP0005,1,EX00077,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000084,WPD00015,WP0005,2,EX00186,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000085,WPD00015,WP0005,3,EX00042,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000086,WPD00015,WP0005,4,EX00145,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000087,WPD00015,WP0005,5,EX00195,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000088,WPD00015,WP0005,6,EX00126,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000089,WPD00016,WP0005,1,EX00080,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000090,WPD00016,WP0005,2,EX00091,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000091,WPD00016,WP0005,3,EX00009,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000092,WPD00016,WP0005,4,EX00150,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000093,WPD00016,WP0005,5,EX00111,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000094,WPD00016,WP0005,6,EX00116,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000095,WPD00017,WP0005,1,EX00197,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000096,WPD00017,WP0005,2,EX00105,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000097,WPD00017,WP0005,3,EX00107,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000098,WPD00017,WP0005,4,EX00108,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000099,WPD00017,WP0005,5,EX00193,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000100,WPD00018,WP0006,1,EX00168,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000101,WPD00018,WP0006,2,EX00180,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000102,WPD00018,WP0006,3,EX00137,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000103,WPD00018,WP0006,4,EX00060,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000104,WPD00018,WP0006,5,EX00198,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000105,WPD00018,WP0006,6,EX00203,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000106,WPD00019,WP0006,1,EX00079,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000107,WPD00019,WP0006,2,EX00087,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000108,WPD00019,WP0006,3,EX00019,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000109,WPD00019,WP0006,4,EX00145,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000110,WPD00019,WP0006,5,EX00106,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000111,WPD00019,WP0006,6,EX00128,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000112,WPD00020,WP0006,1,EX00104,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000113,WPD00020,WP0006,2,EX00196,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000114,WPD00020,WP0006,3,EX00112,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000115,WPD00020,WP0006,4,EX00120,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000116,WPD00020,WP0006,5,EX00197,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000117,WPD00021,WP0007,1,EX00012,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000118,WPD00021,WP0007,2,EX00033,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000119,WPD00021,WP0007,3,EX00007,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000120,WPD00021,WP0007,4,EX00045,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000121,WPD00021,WP0007,5,EX00020,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000122,WPD00021,WP0007,6,EX00140,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000123,WPD00022,WP0007,1,EX00101,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000124,WPD00022,WP0007,2,EX00169,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000125,WPD00022,WP0007,3,EX00081,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000126,WPD00022,WP0007,4,EX00078,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000127,WPD00022,WP0007,5,EX00092,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000128,WPD00022,WP0007,6,EX00184,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000129,WPD00023,WP0007,1,EX00053,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000130,WPD00023,WP0007,2,EX00152,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000131,WPD00023,WP0007,3,EX00151,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000132,WPD00023,WP0007,4,EX00037,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000133,WPD00023,WP0007,5,EX00063,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000134,WPD00023,WP0007,6,EX00149,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000135,WPD00024,WP0007,1,EX00070,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000136,WPD00024,WP0007,2,EX00076,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000137,WPD00024,WP0007,3,EX00092,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000138,WPD00024,WP0007,4,EX00187,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000139,WPD00024,WP0007,5,EX00088,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000140,WPD00024,WP0007,6,EX00084,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000141,WPD00025,WP0008,1,EX00141,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000142,WPD00025,WP0008,2,EX00020,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000143,WPD00025,WP0008,3,EX00026,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000144,WPD00025,WP0008,4,EX00138,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000145,WPD00025,WP0008,5,EX00046,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000146,WPD00025,WP0008,6,EX00024,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000147,WPD00026,WP0008,1,EX00097,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000148,WPD00026,WP0008,2,EX00102,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000149,WPD00026,WP0008,3,EX00191,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000150,WPD00026,WP0008,4,EX00076,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000151,WPD00026,WP0008,5,EX00084,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000152,WPD00026,WP0008,6,EX00083,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000153,WPD00027,WP0008,1,EX00047,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000154,WPD00027,WP0008,2,EX00064,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000155,WPD00027,WP0008,3,EX00038,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000156,WPD00027,WP0008,4,EX00057,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000157,WPD00027,WP0008,5,EX00152,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000158,WPD00027,WP0008,6,EX00037,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000159,WPD00028,WP0008,1,EX00073,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000160,WPD00028,WP0008,2,EX00181,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000161,WPD00028,WP0008,3,EX00171,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000162,WPD00028,WP0008,4,EX00072,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000163,WPD00028,WP0008,5,EX00083,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000164,WPD00028,WP0008,6,EX00191,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000165,WPD00029,WP0009,1,EX00175,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000166,WPD00029,WP0009,2,EX00085,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000167,WPD00029,WP0009,3,EX00161,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000168,WPD00029,WP0009,4,EX00064,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000169,WPD00029,WP0009,5,EX00105,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000170,WPD00029,WP0009,6,EX00130,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000171,WPD00030,WP0009,1,EX00076,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000172,WPD00030,WP0009,2,EX00092,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000173,WPD00030,WP0009,3,EX00131,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000174,WPD00030,WP0009,4,EX00149,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000175,WPD00030,WP0009,5,EX00107,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000176,WPD00030,WP0009,6,EX00200,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000177,WPD00031,WP0009,1,EX00108,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000178,WPD00031,WP0009,2,EX00196,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000179,WPD00031,WP0009,3,EX00122,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000180,WPD00031,WP0009,4,EX00119,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000181,WPD00031,WP0009,5,EX00111,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000182,WPD00032,WP0010,1,EX00167,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000183,WPD00032,WP0010,2,EX00087,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000184,WPD00032,WP0010,3,EX00004,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000185,WPD00032,WP0010,4,EX00068,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000186,WPD00032,WP0010,5,EX00197,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000187,WPD00032,WP0010,6,EX00124,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000188,WPD00033,WP0010,1,EX00172,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000189,WPD00033,WP0010,2,EX00191,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000190,WPD00033,WP0010,3,EX00007,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000191,WPD00033,WP0010,4,EX00058,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000192,WPD00033,WP0010,5,EX00107,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
