plan_id,plan_title_vi,goal_code,goal_name_vi,level_code,level_name_vi,duration_weeks,days_per_week,split_type,equipment_profile,calorie_hint,plan_overview,progression_rule,deload_guideline,notes
WP0011,Plan Tăng cơ 4 buổi/tuần - Nâng cao,muscle_gain,Tăng cơ,advanced,Nâng cao,8,4,upper_lower,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức nâng cao, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0012,Plan Tăng cơ 4 buổi/tuần - Nâng cao (biến thể B),muscle_gain,Tăng cơ,advanced,Nâng cao,8,4,upper_lower,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức nâng cao, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0013,Plan Giảm mỡ 3 buổi/tuần - Mới bắt đầu,fat_loss,Giảm mỡ,beginner,Mới bắt đầu,8,3,full_body,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức mới bắt đầu, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0014,Plan Giảm mỡ 3 buổi/tuần - Mới bắt đầu (biến thể B),fat_loss,Giảm mỡ,beginner,Mới bắt đầu,8,3,full_body,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức mới bắt đầu, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0015,Plan Giảm mỡ 4 buổi/tuần - Mới bắt đầu,fat_loss,Giảm mỡ,beginner,Mới bắt đầu,8,4,upper_lower,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức mới bắt đầu, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0016,Plan Giảm mỡ 4 buổi/tuần - Mới bắt đầu (biến thể B),fat_loss,Giảm mỡ,beginner,Mới bắt đầu,8,4,upper_lower,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức mới bắt đầu, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0017,Plan Giảm mỡ 3 buổi/tuần - Trung cấp,fat_loss,Giảm mỡ,intermediate,Trung cấp,8,3,full_body,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức trung cấp, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0018,Plan Giảm mỡ 3 buổi/tuần - Trung cấp (biến thể B),fat_loss,Giảm mỡ,intermediate,Trung cấp,8,3,full_body,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức trung cấp, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0019,Plan Giảm mỡ 4 buổi/tuần - Trung cấp,fat_loss,Giảm mỡ,intermediate,Trung cấp,8,4,upper_lower,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức trung cấp, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0020,Plan Giảm mỡ 4 buổi/tuần - Trung cấp (biến thể B),fat_loss,Giảm mỡ,intermediate,Trung cấp,8,4,upper_lower,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức trung cấp, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0021,Plan Giảm mỡ 3 buổi/tuần - Nâng cao,fat_loss,Giảm mỡ,advanced,Nâng cao,8,3,full_body,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức nâng cao, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0022,Plan Giảm mỡ 3 buổi/tuần - Nâng cao (biến thể B),fat_loss,Giảm mỡ,advanced,Nâng cao,8,3,full_body,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức nâng cao, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0023,Plan Giảm mỡ 4 buổi/tuần - Nâng cao,fat_loss,Giảm mỡ,advanced,Nâng cao,8,4,upper_lower,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức nâng cao, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0024,Plan Giảm mỡ 4 buổi/tuần - Nâng cao (biến thể B),fat_loss,Giảm mỡ,advanced,Nâng cao,8,4,upper_lower,gym,-300 đến -500 kcal so với duy trì,"Plan giảm mỡ dành cho mức nâng cao, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0025,Plan Tăng sức mạnh 3 buổi/tuần - Mới bắt đầu,strength,Tăng sức mạnh,beginner,Mới bắt đầu,10,3,full_body,gym,+0 đến +200 kcal so với duy trì,"Plan tăng sức mạnh dành cho mức mới bắt đầu, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0026,Plan Tăng sức mạnh 3 buổi/tuần - Trung cấp,strength,Tăng sức mạnh,intermediate,Trung cấp,10,3,full_body,gym,+0 đến +200 kcal so với duy trì,"Plan tăng sức mạnh dành cho mức trung cấp, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0027,Plan Tăng sức mạnh 3 buổi/tuần - Nâng cao,strength,Tăng sức mạnh,advanced,Nâng cao,10,3,full_body,gym,+0 đến +200 kcal so với duy trì,"Plan tăng sức mạnh dành cho mức nâng cao, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0028,Plan Thể lực tổng quát 3 buổi/tuần - Mới bắt đầu,general_fitness,Thể lực tổng quát,beginner,Mới bắt đầu,8,3,full_body,gym,xấp xỉ duy trì,"Plan thể lực tổng quát dành cho mức mới bắt đầu, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0029,Plan Thể lực tổng quát 3 buổi/tuần - Mới bắt đầu (biến thể B),general_fitness,Thể lực tổng quát,beginner,Mới bắt đầu,8,3,full_body,gym,xấp xỉ duy trì,"Plan thể lực tổng quát dành cho mức mới bắt đầu, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0030,Plan Thể lực tổng quát 3 buổi/tuần - Trung cấp,general_fitness,Thể lực tổng quát,intermediate,Trung cấp,8,3,full_body,gym,xấp xỉ duy trì,"Plan thể lực tổng quát dành cho mức trung cấp, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0031,Plan Thể lực tổng quát 3 buổi/tuần - Trung cấp (biến thể B),general_fitness,Thể lực tổng quát,intermediate,Trung cấp,8,3,full_body,gym,xấp xỉ duy trì,"Plan thể lực tổng quát dành cho mức trung cấp, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0032,Plan Thể lực tổng quát 3 buổi/tuần - Nâng cao,general_fitness,Thể lực tổng quát,advanced,Nâng cao,8,3,full_body,gym,xấp xỉ duy trì,"Plan thể lực tổng quát dành cho mức nâng cao, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0033,Plan Thể lực tổng quát 3 buổi/tuần - Nâng cao (biến thể B),general_fitness,Thể lực tổng quát,advanced,Nâng cao,8,3,full_body,gym,xấp xỉ duy trì,"Plan thể lực tổng quát dành cho mức nâng cao, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0034,Plan Ưu tiên mông 3 buổi/tuần - Mới bắt đầu,glute_focus,Ưu tiên mông,beginner,Mới bắt đầu,8,3,full_body,gym,+100 đến +250 kcal nếu muốn tăng cơ,"Plan ưu tiên mông dành cho mức mới bắt đầu, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0035,Plan Ưu tiên mông 4 buổi/tuần - Mới bắt đầu,glute_focus,Ưu tiên mông,beginner,Mới bắt đầu,8,4,upper_lower,gym,+100 đến +250 kcal nếu muốn tăng cơ,"Plan ưu tiên mông dành cho mức mới bắt đầu, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0036,Plan Ưu tiên mông 3 buổi/tuần - Trung cấp,glute_focus,Ưu tiên mông,intermediate,Trung cấp,8,3,full_body,gym,+100 đến +250 kcal nếu muốn tăng cơ,"Plan ưu tiên mông dành cho mức trung cấp, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0037,Plan Ưu tiên mông 4 buổi/tuần - Trung cấp,glute_focus,Ưu tiên mông,intermediate,Trung cấp,8,4,upper_lower,gym,+100 đến +250 kcal nếu muốn tăng cơ,"Plan ưu tiên mông dành cho mức trung cấp, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0038,Plan Ưu tiên mông 3 buổi/tuần - Nâng cao,glute_focus,Ưu tiên mông,advanced,Nâng cao,8,3,full_body,gym,+100 đến +250 kcal nếu muốn tăng cơ,"Plan ưu tiên mông dành cho mức nâng cao, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0039,Plan Ưu tiên mông 4 buổi/tuần - Nâng cao,glute_focus,Ưu tiên mông,advanced,Nâng cao,8,4,upper_lower,gym,+100 đến +250 kcal nếu muốn tăng cơ,"Plan ưu tiên mông dành cho mức nâng cao, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
