query_id,user_query_vi,system_hint,prompt_style,intent,target_type,target_id,expected_response_vi,tags
Q0000011,Tư vấn nhanh: Nên tập Đẩy ngực phẳng với tạ đòn bao nhiêu set và rep?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000003,"Với mục tiêu tăng cơ, Đẩy ngực phẳng với tạ đòn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 90 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực phẳng với tạ đòn|programming
Q0000012,Nên tập Đẩy ngực phẳng với tạ đòn bao nhiêu set và rep?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000003,"Với mục tiêu tăng cơ, Đẩy ngực phẳng với tạ đòn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 90 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực phẳng với tạ đòn|programming
Q0000013,"Giải thích giúp mình Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đòn bằng gì?","Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000004,"Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực phẳng với tạ đòn|Tạ đòn, Ghế tập"
Q0000014,"Cho mình hỏi Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đòn bằng gì?","Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000004,"Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực phẳng với tạ đòn|Tạ đòn, Ghế tập"
Q0000015,"Tư vấn nhanh: Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đòn bằng gì?","Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000004,"Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực phẳng với tạ đòn|Tạ đòn, Ghế tập"
Q0000016,"Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đòn bằng gì?","Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000004,"Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực phẳng với tạ đòn|Tạ đòn, Ghế tập"
Q0000017,Cho mình hỏi Cách tập đúng bài Đẩy ngực phẳng với tạ đơn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000005,"Đẩy ngực phẳng với tạ đơn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đơn|Ngực
Q0000018,Giải thích giúp mình Cách tập đúng bài Đẩy ngực phẳng với tạ đơn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000005,"Đẩy ngực phẳng với tạ đơn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đơn|Ngực
Q0000019,Tư vấn nhanh: Cách tập đúng bài Đẩy ngực phẳng với tạ đơn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000005,"Đẩy ngực phẳng với tạ đơn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đơn|Ngực
Q0000020,Cách tập đúng bài Đẩy ngực phẳng với tạ đơn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000005,"Đẩy ngực phẳng với tạ đơn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đơn|Ngực
Q0000021,Mình muốn biết Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đơn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000006,"Các lỗi hay gặp ở Đẩy ngực phẳng với tạ đơn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực phẳng với tạ đơn
Q0000022,Tư vấn nhanh: Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đơn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000006,"Các lỗi hay gặp ở Đẩy ngực phẳng với tạ đơn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực phẳng với tạ đơn
Q0000023,Cho mình hỏi Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đơn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000006,"Các lỗi hay gặp ở Đẩy ngực phẳng với tạ đơn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực phẳng với tạ đơn
Q0000024,Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đơn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000006,"Các lỗi hay gặp ở Đẩy ngực phẳng với tạ đơn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực phẳng với tạ đơn
Q0000025,Tư vấn nhanh: Nên tập Đẩy ngực phẳng với tạ đơn bao nhiêu set và rep?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000007,"Với mục tiêu tăng cơ, Đẩy ngực phẳng với tạ đơn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 75 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực phẳng với tạ đơn|programming
Q0000026,Cho mình hỏi Nên tập Đẩy ngực phẳng với tạ đơn bao nhiêu set và rep?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000007,"Với mục tiêu tăng cơ, Đẩy ngực phẳng với tạ đơn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 75 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực phẳng với tạ đơn|programming
Q0000027,Mình muốn biết Nên tập Đẩy ngực phẳng với tạ đơn bao nhiêu set và rep?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000007,"Với mục tiêu tăng cơ, Đẩy ngực phẳng với tạ đơn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 75 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực phẳng với tạ đơn|programming
Q0000028,Nên tập Đẩy ngực phẳng với tạ đơn bao nhiêu set và rep?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000007,"Với mục tiêu tăng cơ, Đẩy ngực phẳng với tạ đơn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 75 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực phẳng với tạ đơn|programming
Q0000029,"Giải thích giúp mình Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đơn bằng gì?","Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000008,"Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực phẳng với tạ đơn|Tạ đơn, Ghế tập"
Q0000030,"Mình muốn biết Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đơn bằng gì?","Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000008,"Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực phẳng với tạ đơn|Tạ đơn, Ghế tập"
Q0000031,"Tư vấn nhanh: Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đơn bằng gì?","Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000008,"Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực phẳng với tạ đơn|Tạ đơn, Ghế tập"
Q0000032,"Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đơn bằng gì?","Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000008,"Bạn có thể dùng biến thể dễ hơn hoặc tương đương theo cùng pattern horizontal_push. Gợi ý hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Gợi ý tăng tiến hoặc thay thế khi mạnh hơn: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.. Khi thay bài, hãy giữ mục tiêu nhóm cơ chính và mức gắng sức tương tự.","thay bài|equipment|Đẩy ngực phẳng với tạ đơn|Tạ đơn, Ghế tập"
Q0000033,Cách tập đúng bài Đẩy ngực phẳng với máy là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000009,"Đẩy ngực phẳng với máy chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với máy|Ngực
Q0000034,Tư vấn nhanh: Cách tập đúng bài Đẩy ngực phẳng với máy là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000009,"Đẩy ngực phẳng với máy chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với máy|Ngực
Q0000035,Giải thích giúp mình Cách tập đúng bài Đẩy ngực phẳng với máy là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000009,"Đẩy ngực phẳng với máy chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với máy|Ngực
Q0000036,Cách tập đúng bài Đẩy ngực phẳng với máy là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000009,"Đẩy ngực phẳng với máy chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với máy|Ngực
