query_id,query_text,intent,target_type,target_id,language,difficulty_scope,tags
Q0000035,Giải thích giúp mình Cách tập đúng bài Đẩy ngực phẳng với máy là gì?,faq_lookup,faq,FAQ000009,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với máy|Ngực
Q0000036,Cách tập đúng bài Đẩy ngực phẳng với máy là gì?,faq_lookup,faq,FAQ000009,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với máy|Ngực
Q0000037,Giải thích giúp mình Lỗi thường gặp khi tập Đẩy ngực phẳng với máy là gì?,faq_lookup,faq,FAQ000010,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với máy
Q0000038,Lỗi thường gặp khi tập Đẩy ngực phẳng với máy là gì?,faq_lookup,faq,FAQ000010,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với máy
Q0000039,Tư vấn nhanh: Lỗi thường gặp khi tập Đẩy ngực phẳng với máy là gì?,faq_lookup,faq,FAQ000010,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với máy
Q0000040,Lỗi thường gặp khi tập Đẩy ngực phẳng với máy là gì?,faq_lookup,faq,FAQ000010,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với máy
Q0000041,Cho mình hỏi Nên tập Đẩy ngực phẳng với máy bao nhiêu set và rep?,faq_lookup,faq,FAQ000011,vi,all,set rep|Đẩy ngực phẳng với máy|programming
Q0000042,Giải thích giúp mình Nên tập Đẩy ngực phẳng với máy bao nhiêu set và rep?,faq_lookup,faq,FAQ000011,vi,all,set rep|Đẩy ngực phẳng với máy|programming
Q0000043,Tư vấn nhanh: Nên tập Đẩy ngực phẳng với máy bao nhiêu set và rep?,faq_lookup,faq,FAQ000011,vi,all,set rep|Đẩy ngực phẳng với máy|programming
Q0000044,Nên tập Đẩy ngực phẳng với máy bao nhiêu set và rep?,faq_lookup,faq,FAQ000011,vi,all,set rep|Đẩy ngực phẳng với máy|programming
Q0000045,"Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực phẳng với máy bằng gì?",faq_lookup,faq,FAQ000012,vi,all,"thay bài|equipment|Đẩy ngực phẳng với máy|Máy tập, Ghế tập"
Q0000046,"Giải thích giúp mình Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực phẳng với máy bằng gì?",faq_lookup,faq,FAQ000012,vi,all,"thay bài|equipment|Đẩy ngực phẳng với máy|Máy tập, Ghế tập"
Q0000047,"Tư vấn nhanh: Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực phẳng với máy bằng gì?",faq_lookup,faq,FAQ000012,vi,all,"thay bài|equipment|Đẩy ngực phẳng với máy|Máy tập, Ghế tập"
Q0000048,"Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực phẳng với máy bằng gì?",faq_lookup,faq,FAQ000012,vi,all,"thay bài|equipment|Đẩy ngực phẳng với máy|Máy tập, Ghế tập"
Q0000049,Cho mình hỏi Cách tập đúng bài Đẩy ngực phẳng với máy smith là gì?,faq_lookup,faq,FAQ000013,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với máy smith|Ngực
Q0000050,Mình muốn biết Cách tập đúng bài Đẩy ngực phẳng với máy smith là gì?,faq_lookup,faq,FAQ000013,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với máy smith|Ngực
Q0000051,Cách tập đúng bài Đẩy ngực phẳng với máy smith là gì?,faq_lookup,faq,FAQ000013,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với máy smith|Ngực
Q0000052,Cách tập đúng bài Đẩy ngực phẳng với máy smith là gì?,faq_lookup,faq,FAQ000013,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với máy smith|Ngực
Q0000053,Mình muốn biết Lỗi thường gặp khi tập Đẩy ngực phẳng với máy smith là gì?,faq_lookup,faq,FAQ000014,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với máy smith
Q0000054,Lỗi thường gặp khi tập Đẩy ngực phẳng với máy smith là gì?,faq_lookup,faq,FAQ000014,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với máy smith
Q0000055,Tư vấn nhanh: Lỗi thường gặp khi tập Đẩy ngực phẳng với máy smith là gì?,faq_lookup,faq,FAQ000014,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với máy smith
Q0000056,Lỗi thường gặp khi tập Đẩy ngực phẳng với máy smith là gì?,faq_lookup,faq,FAQ000014,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với máy smith
Q0000057,Mình muốn biết Nên tập Đẩy ngực phẳng với máy smith bao nhiêu set và rep?,faq_lookup,faq,FAQ000015,vi,all,set rep|Đẩy ngực phẳng với máy smith|programming
Q0000058,Tư vấn nhanh: Nên tập Đẩy ngực phẳng với máy smith bao nhiêu set và rep?,faq_lookup,faq,FAQ000015,vi,all,set rep|Đẩy ngực phẳng với máy smith|programming
Q0000059,Nên tập Đẩy ngực phẳng với máy smith bao nhiêu set và rep?,faq_lookup,faq,FAQ000015,vi,all,set rep|Đẩy ngực phẳng với máy smith|programming
Q0000060,Nên tập Đẩy ngực phẳng với máy smith bao nhiêu set và rep?,faq_lookup,faq,FAQ000015,vi,all,set rep|Đẩy ngực phẳng với máy smith|programming
Q0000061,"Mình muốn biết Nếu không có máy smith, ghế tập thì thay bài Đẩy ngực phẳng với máy smith bằng gì?",faq_lookup,faq,FAQ000016,vi,all,"thay bài|equipment|Đẩy ngực phẳng với máy smith|Máy smith, Ghế tập"
Q0000062,"Cho mình hỏi Nếu không có máy smith, ghế tập thì thay bài Đẩy ngực phẳng với máy smith bằng gì?",faq_lookup,faq,FAQ000016,vi,all,"thay bài|equipment|Đẩy ngực phẳng với máy smith|Máy smith, Ghế tập"
Q0000063,"Nếu không có máy smith, ghế tập thì thay bài Đẩy ngực phẳng với máy smith bằng gì?",faq_lookup,faq,FAQ000016,vi,all,"thay bài|equipment|Đẩy ngực phẳng với máy smith|Máy smith, Ghế tập"
Q0000064,"Nếu không có máy smith, ghế tập thì thay bài Đẩy ngực phẳng với máy smith bằng gì?",faq_lookup,faq,FAQ000016,vi,all,"thay bài|equipment|Đẩy ngực phẳng với máy smith|Máy smith, Ghế tập"
Q0000065,Giải thích giúp mình Cách tập đúng bài Đẩy ngực dốc lên với tạ đòn là gì?,faq_lookup,faq,FAQ000017,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với tạ đòn|Ngực
Q0000066,Mình muốn biết Cách tập đúng bài Đẩy ngực dốc lên với tạ đòn là gì?,faq_lookup,faq,FAQ000017,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với tạ đòn|Ngực
Q0000067,Tư vấn nhanh: Cách tập đúng bài Đẩy ngực dốc lên với tạ đòn là gì?,faq_lookup,faq,FAQ000017,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với tạ đòn|Ngực
Q0000068,Cách tập đúng bài Đẩy ngực dốc lên với tạ đòn là gì?,faq_lookup,faq,FAQ000017,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với tạ đòn|Ngực
Q0000069,Cho mình hỏi Lỗi thường gặp khi tập Đẩy ngực dốc lên với tạ đòn là gì?,faq_lookup,faq,FAQ000018,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với tạ đòn
Q0000070,Giải thích giúp mình Lỗi thường gặp khi tập Đẩy ngực dốc lên với tạ đòn là gì?,faq_lookup,faq,FAQ000018,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với tạ đòn
Q0000071,Mình muốn biết Lỗi thường gặp khi tập Đẩy ngực dốc lên với tạ đòn là gì?,faq_lookup,faq,FAQ000018,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với tạ đòn
Q0000072,Lỗi thường gặp khi tập Đẩy ngực dốc lên với tạ đòn là gì?,faq_lookup,faq,FAQ000018,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với tạ đòn
Q0000073,Nên tập Đẩy ngực dốc lên với tạ đòn bao nhiêu set và rep?,faq_lookup,faq,FAQ000019,vi,all,set rep|Đẩy ngực dốc lên với tạ đòn|programming
Q0000074,Tư vấn nhanh: Nên tập Đẩy ngực dốc lên với tạ đòn bao nhiêu set và rep?,faq_lookup,faq,FAQ000019,vi,all,set rep|Đẩy ngực dốc lên với tạ đòn|programming
Q0000075,Giải thích giúp mình Nên tập Đẩy ngực dốc lên với tạ đòn bao nhiêu set và rep?,faq_lookup,faq,FAQ000019,vi,all,set rep|Đẩy ngực dốc lên với tạ đòn|programming
Q0000076,Nên tập Đẩy ngực dốc lên với tạ đòn bao nhiêu set và rep?,faq_lookup,faq,FAQ000019,vi,all,set rep|Đẩy ngực dốc lên với tạ đòn|programming
Q0000077,"Cho mình hỏi Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực dốc lên với tạ đòn bằng gì?",faq_lookup,faq,FAQ000020,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với tạ đòn|Tạ đòn, Ghế tập"
Q0000078,"Giải thích giúp mình Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực dốc lên với tạ đòn bằng gì?",faq_lookup,faq,FAQ000020,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với tạ đòn|Tạ đòn, Ghế tập"
Q0000079,"Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực dốc lên với tạ đòn bằng gì?",faq_lookup,faq,FAQ000020,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với tạ đòn|Tạ đòn, Ghế tập"
Q0000080,"Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực dốc lên với tạ đòn bằng gì?",faq_lookup,faq,FAQ000020,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với tạ đòn|Tạ đòn, Ghế tập"
Q0000081,Cho mình hỏi Cách tập đúng bài Đẩy ngực dốc lên với tạ đơn là gì?,faq_lookup,faq,FAQ000021,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với tạ đơn|Ngực
Q0000082,Tư vấn nhanh: Cách tập đúng bài Đẩy ngực dốc lên với tạ đơn là gì?,faq_lookup,faq,FAQ000021,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với tạ đơn|Ngực
Q0000083,Mình muốn biết Cách tập đúng bài Đẩy ngực dốc lên với tạ đơn là gì?,faq_lookup,faq,FAQ000021,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với tạ đơn|Ngực
Q0000084,Cách tập đúng bài Đẩy ngực dốc lên với tạ đơn là gì?,faq_lookup,faq,FAQ000021,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với tạ đơn|Ngực
Q0000085,Giải thích giúp mình Lỗi thường gặp khi tập Đẩy ngực dốc lên với tạ đơn là gì?,faq_lookup,faq,FAQ000022,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với tạ đơn
Q0000086,Lỗi thường gặp khi tập Đẩy ngực dốc lên với tạ đơn là gì?,faq_lookup,faq,FAQ000022,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với tạ đơn
Q0000087,Tư vấn nhanh: Lỗi thường gặp khi tập Đẩy ngực dốc lên với tạ đơn là gì?,faq_lookup,faq,FAQ000022,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với tạ đơn
Q0000088,Lỗi thường gặp khi tập Đẩy ngực dốc lên với tạ đơn là gì?,faq_lookup,faq,FAQ000022,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với tạ đơn
Q0000089,Mình muốn biết Nên tập Đẩy ngực dốc lên với tạ đơn bao nhiêu set và rep?,faq_lookup,faq,FAQ000023,vi,all,set rep|Đẩy ngực dốc lên với tạ đơn|programming
Q0000090,Nên tập Đẩy ngực dốc lên với tạ đơn bao nhiêu set và rep?,faq_lookup,faq,FAQ000023,vi,all,set rep|Đẩy ngực dốc lên với tạ đơn|programming
Q0000091,Cho mình hỏi Nên tập Đẩy ngực dốc lên với tạ đơn bao nhiêu set và rep?,faq_lookup,faq,FAQ000023,vi,all,set rep|Đẩy ngực dốc lên với tạ đơn|programming
Q0000092,Nên tập Đẩy ngực dốc lên với tạ đơn bao nhiêu set và rep?,faq_lookup,faq,FAQ000023,vi,all,set rep|Đẩy ngực dốc lên với tạ đơn|programming
Q0000093,"Cho mình hỏi Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực dốc lên với tạ đơn bằng gì?",faq_lookup,faq,FAQ000024,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với tạ đơn|Tạ đơn, Ghế tập"
Q0000094,"Giải thích giúp mình Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực dốc lên với tạ đơn bằng gì?",faq_lookup,faq,FAQ000024,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với tạ đơn|Tạ đơn, Ghế tập"
Q0000095,"Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực dốc lên với tạ đơn bằng gì?",faq_lookup,faq,FAQ000024,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với tạ đơn|Tạ đơn, Ghế tập"
Q0000096,"Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực dốc lên với tạ đơn bằng gì?",faq_lookup,faq,FAQ000024,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với tạ đơn|Tạ đơn, Ghế tập"
Q0000097,Cho mình hỏi Cách tập đúng bài Đẩy ngực dốc lên với máy là gì?,faq_lookup,faq,FAQ000025,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với máy|Ngực
Q0000098,Giải thích giúp mình Cách tập đúng bài Đẩy ngực dốc lên với máy là gì?,faq_lookup,faq,FAQ000025,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với máy|Ngực
Q0000099,Cách tập đúng bài Đẩy ngực dốc lên với máy là gì?,faq_lookup,faq,FAQ000025,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với máy|Ngực
Q0000100,Cách tập đúng bài Đẩy ngực dốc lên với máy là gì?,faq_lookup,faq,FAQ000025,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với máy|Ngực
Q0000101,Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy là gì?,faq_lookup,faq,FAQ000026,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với máy
Q0000102,Tư vấn nhanh: Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy là gì?,faq_lookup,faq,FAQ000026,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với máy
Q0000103,Cho mình hỏi Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy là gì?,faq_lookup,faq,FAQ000026,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với máy
Q0000104,Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy là gì?,faq_lookup,faq,FAQ000026,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với máy
Q0000105,Mình muốn biết Nên tập Đẩy ngực dốc lên với máy bao nhiêu set và rep?,faq_lookup,faq,FAQ000027,vi,all,set rep|Đẩy ngực dốc lên với máy|programming
Q0000106,Tư vấn nhanh: Nên tập Đẩy ngực dốc lên với máy bao nhiêu set và rep?,faq_lookup,faq,FAQ000027,vi,all,set rep|Đẩy ngực dốc lên với máy|programming
Q0000107,Nên tập Đẩy ngực dốc lên với máy bao nhiêu set và rep?,faq_lookup,faq,FAQ000027,vi,all,set rep|Đẩy ngực dốc lên với máy|programming
Q0000108,Nên tập Đẩy ngực dốc lên với máy bao nhiêu set và rep?,faq_lookup,faq,FAQ000027,vi,all,set rep|Đẩy ngực dốc lên với máy|programming
Q0000109,"Giải thích giúp mình Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực dốc lên với máy bằng gì?",faq_lookup,faq,FAQ000028,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với máy|Máy tập, Ghế tập"
Q0000110,"Cho mình hỏi Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực dốc lên với máy bằng gì?",faq_lookup,faq,FAQ000028,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với máy|Máy tập, Ghế tập"
Q0000111,"Mình muốn biết Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực dốc lên với máy bằng gì?",faq_lookup,faq,FAQ000028,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với máy|Máy tập, Ghế tập"
Q0000112,"Nếu không có máy tập, ghế tập thì thay bài Đẩy ngực dốc lên với máy bằng gì?",faq_lookup,faq,FAQ000028,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với máy|Máy tập, Ghế tập"
Q0000113,Cho mình hỏi Cách tập đúng bài Đẩy ngực dốc lên với máy smith là gì?,faq_lookup,faq,FAQ000029,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với máy smith|Ngực
Q0000114,Cách tập đúng bài Đẩy ngực dốc lên với máy smith là gì?,faq_lookup,faq,FAQ000029,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với máy smith|Ngực
Q0000115,Mình muốn biết Cách tập đúng bài Đẩy ngực dốc lên với máy smith là gì?,faq_lookup,faq,FAQ000029,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với máy smith|Ngực
Q0000116,Cách tập đúng bài Đẩy ngực dốc lên với máy smith là gì?,faq_lookup,faq,FAQ000029,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc lên với máy smith|Ngực
Q0000117,Tư vấn nhanh: Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy smith là gì?,faq_lookup,faq,FAQ000030,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với máy smith
Q0000118,Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy smith là gì?,faq_lookup,faq,FAQ000030,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với máy smith
Q0000119,Mình muốn biết Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy smith là gì?,faq_lookup,faq,FAQ000030,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với máy smith
Q0000120,Lỗi thường gặp khi tập Đẩy ngực dốc lên với máy smith là gì?,faq_lookup,faq,FAQ000030,vi,all,bài tập|lỗi form|Đẩy ngực dốc lên với máy smith
Q0000121,Cho mình hỏi Nên tập Đẩy ngực dốc lên với máy smith bao nhiêu set và rep?,faq_lookup,faq,FAQ000031,vi,all,set rep|Đẩy ngực dốc lên với máy smith|programming
Q0000122,Giải thích giúp mình Nên tập Đẩy ngực dốc lên với máy smith bao nhiêu set và rep?,faq_lookup,faq,FAQ000031,vi,all,set rep|Đẩy ngực dốc lên với máy smith|programming
Q0000123,Tư vấn nhanh: Nên tập Đẩy ngực dốc lên với máy smith bao nhiêu set và rep?,faq_lookup,faq,FAQ000031,vi,all,set rep|Đẩy ngực dốc lên với máy smith|programming
Q0000124,Nên tập Đẩy ngực dốc lên với máy smith bao nhiêu set và rep?,faq_lookup,faq,FAQ000031,vi,all,set rep|Đẩy ngực dốc lên với máy smith|programming
Q0000125,"Cho mình hỏi Nếu không có máy smith, ghế tập thì thay bài Đẩy ngực dốc lên với máy smith bằng gì?",faq_lookup,faq,FAQ000032,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với máy smith|Máy smith, Ghế tập"
Q0000126,"Tư vấn nhanh: Nếu không có máy smith, ghế tập thì thay bài Đẩy ngực dốc lên với máy smith bằng gì?",faq_lookup,faq,FAQ000032,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với máy smith|Máy smith, Ghế tập"
Q0000127,"Giải thích giúp mình Nếu không có máy smith, ghế tập thì thay bài Đẩy ngực dốc lên với máy smith bằng gì?",faq_lookup,faq,FAQ000032,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với máy smith|Máy smith, Ghế tập"
Q0000128,"Nếu không có máy smith, ghế tập thì thay bài Đẩy ngực dốc lên với máy smith bằng gì?",faq_lookup,faq,FAQ000032,vi,all,"thay bài|equipment|Đẩy ngực dốc lên với máy smith|Máy smith, Ghế tập"
Q0000129,Tư vấn nhanh: Cách tập đúng bài Đẩy ngực dốc xuống với tạ đòn là gì?,faq_lookup,faq,FAQ000033,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc xuống với tạ đòn|Ngực
Q0000130,Giải thích giúp mình Cách tập đúng bài Đẩy ngực dốc xuống với tạ đòn là gì?,faq_lookup,faq,FAQ000033,vi,all,bài tập|kỹ thuật|Đẩy ngực dốc xuống với tạ đòn|Ngực
