meal_item_id,meal_plan_id,meal_number,meal_name_vi,food_id,portion_factor,estimated_kcal,estimated_protein_g,estimated_carbs_g,estimated_fat_g,estimated_fiber_g,note
MPI000012,MP0001,5,Bữa tối,FD0123,1.2,121.2,0.7,32.4,0.2,6.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000013,MP0001,5,Bữa tối,FD0099,1.5,46.5,2.1,11.1,0.3,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000014,MP0001,5,Bữa tối,FD0090,0.5,85.0,4.2,2.1,7.0,0.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000015,MP0002,1,Bữa sáng,FD0074,1.0,80.0,10.0,2.0,3.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000016,MP0002,1,Bữa sáng,FD0025,1.0,158.0,5.8,30.9,0.9,1.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000017,MP0002,2,Bữa phụ 1,FD0008,0.8,79.2,19.2,0.2,0.2,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000018,MP0002,2,Bữa phụ 1,FD0084,1.0,50.0,0.5,13.0,0.1,1.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000019,MP0002,3,Bữa trưa,FD0074,1.2,96.0,12.0,2.4,3.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000020,MP0002,3,Bữa trưa,FD0088,1.2,135.6,1.2,36.0,0.2,3.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000021,MP0002,3,Bữa trưa,FD0051,1.5,33.0,4.7,4.9,0.4,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000022,MP0002,3,Bữa trưa,FD0127,0.5,43.0,1.3,1.7,3.8,0.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000023,MP0002,4,Bữa phụ 2,FD0076,0.8,105.6,7.1,19.0,0.4,7.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000024,MP0002,4,Bữa phụ 2,FD0121,1.0,42.0,0.8,10.0,0.4,2.1,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000025,MP0002,5,Bữa tối,FD0073,1.2,122.4,9.8,14.4,2.9,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000026,MP0002,5,Bữa tối,FD0025,1.2,189.6,7.0,37.1,1.1,2.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000027,MP0002,5,Bữa tối,FD0093,1.5,34.5,4.3,5.4,0.6,3.3,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000028,MP0002,5,Bữa tối,FD0092,0.5,45.0,0.0,0.0,5.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000029,MP0003,1,Bữa sáng,FD0070,1.0,135.0,20.0,4.0,3.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000030,MP0003,1,Bữa sáng,FD0028,1.0,96.0,3.4,21.0,1.5,2.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000031,MP0003,1,Bữa sáng,FD0124,1.0,113.0,1.0,30.0,0.2,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000032,MP0003,2,Bữa trưa,FD0005,1.2,249.6,24.0,0.0,15.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000033,MP0003,2,Bữa trưa,FD0024,1.2,177.6,8.4,30.0,2.8,4.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000034,MP0003,2,Bữa trưa,FD0046,1.5,25.5,1.8,4.9,0.4,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000035,MP0003,2,Bữa trưa,FD0038,0.5,87.0,3.2,3.0,7.5,1.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000036,MP0003,3,Bữa phụ,FD0106,1.0,135.0,20.0,4.0,3.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000037,MP0003,4,Bữa tối,FD0009,1.2,86.4,7.6,0.5,5.8,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000038,MP0003,4,Bữa tối,FD0120,1.2,60.0,0.6,15.6,0.1,1.7,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000039,MP0003,4,Bữa tối,FD0045,1.5,34.5,4.3,5.4,0.6,3.3,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000040,MP0003,4,Bữa tối,FD0090,0.5,85.0,4.2,2.1,7.0,0.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000041,MP0004,1,Bữa sáng,FD0068,1.0,97.0,19.0,0.0,1.5,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000042,MP0004,1,Bữa sáng,FD0026,1.0,109.0,1.8,24.5,0.2,0.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000043,MP0004,1,Bữa sáng,FD0122,1.0,60.0,0.8,15.0,0.4,1.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000044,MP0004,2,Bữa phụ 1,FD0106,1.0,135.0,20.0,4.0,3.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000045,MP0004,2,Bữa phụ 1,FD0078,0.7,69.3,3.6,15.0,0.1,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000046,MP0004,3,Bữa trưa,FD0109,1.2,122.4,9.8,14.4,2.9,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000047,MP0004,3,Bữa trưa,FD0079,1.2,294.0,11.5,57.6,1.8,2.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000048,MP0004,3,Bữa trưa,FD0094,1.5,19.5,2.2,3.3,0.3,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000049,MP0004,3,Bữa trưa,FD0090,0.5,85.0,4.2,2.1,7.0,0.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000050,MP0004,4,Bữa phụ 2,FD0007,1.0,128.0,26.0,0.0,2.7,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000051,MP0004,4,Bữa phụ 2,FD0115,0.7,171.5,6.7,33.6,1.0,1.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000052,MP0004,5,Bữa tối,FD0015,1.2,231.6,22.8,10.8,13.2,1.7,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000053,MP0004,5,Bữa tối,FD0025,1.2,189.6,7.0,37.1,1.1,2.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000054,MP0004,5,Bữa tối,FD0094,1.5,19.5,2.2,3.3,0.3,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000055,MP0005,1,Bữa sáng,FD0015,1.0,193.0,19.0,9.0,11.0,1.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000056,MP0005,1,Bữa sáng,FD0036,1.0,46.0,0.0,12.4,0.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000057,MP0005,1,Bữa sáng,FD0122,1.0,60.0,0.8,15.0,0.4,1.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000058,MP0005,2,Bữa trưa,FD0109,1.2,122.4,9.8,14.4,2.9,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000059,MP0005,2,Bữa trưa,FD0124,1.2,135.6,1.2,36.0,0.2,3.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000060,MP0005,2,Bữa trưa,FD0131,1.5,28.5,2.2,4.8,0.3,1.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000061,MP0005,2,Bữa trưa,FD0090,0.5,85.0,4.2,2.1,7.0,0.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000062,MP0005,3,Bữa phụ,FD0002,0.8,141.6,19.2,0.0,6.4,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000063,MP0005,3,Bữa phụ,FD0086,1.0,60.0,0.8,15.0,0.4,1.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000064,MP0005,4,Bữa tối,FD0011,1.2,120.0,20.4,7.2,0.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000065,MP0005,4,Bữa tối,FD0030,1.2,114.0,0.6,30.0,0.4,5.3,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000066,MP0005,4,Bữa tối,FD0052,1.5,25.5,1.8,4.7,0.4,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000067,MP0006,1,Bữa sáng,FD0073,1.0,102.0,8.2,12.0,2.4,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000068,MP0006,1,Bữa sáng,FD0082,1.0,90.0,1.6,21.0,0.1,3.3,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000069,MP0006,1,Bữa sáng,FD0033,1.0,57.0,0.7,14.5,0.3,2.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000070,MP0006,2,Bữa trưa,FD0110,1.2,96.0,12.0,2.4,3.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000071,MP0006,2,Bữa trưa,FD0085,1.2,50.4,1.0,12.0,0.5,2.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000072,MP0006,2,Bữa trưa,FD0046,1.5,25.5,1.8,4.9,0.4,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000073,MP0006,2,Bữa trưa,FD0092,0.5,45.0,0.0,0.0,5.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000074,MP0006,3,Bữa phụ,FD0002,0.8,141.6,19.2,0.0,6.4,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000075,MP0006,3,Bữa phụ,FD0031,1.0,62.0,1.2,15.4,0.2,3.1,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000076,MP0006,4,Bữa tối,FD0108,1.2,73.2,4.2,5.6,4.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000077,MP0006,4,Bữa tối,FD0032,1.2,38.4,0.8,9.2,0.4,2.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000078,MP0006,4,Bữa tối,FD0095,1.5,28.5,2.2,4.8,0.3,1.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000079,MP0006,4,Bữa tối,FD0042,0.5,36.5,1.2,3.1,2.4,2.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000080,MP0007,1,Bữa sáng,FD0070,1.0,135.0,20.0,4.0,3.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000081,MP0007,1,Bữa sáng,FD0079,1.0,245.0,9.6,48.0,1.5,2.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000082,MP0007,2,Bữa trưa,FD0149,1.0,460.0,18.0,68.0,10.0,11.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000083,MP0007,3,Bữa tối,FD0059,1.0,500.0,32.0,48.0,14.0,5.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000084,MP0007,3,Bữa tối,FD0131,1.0,19.0,1.5,3.2,0.2,1.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000085,MP0008,1,Bữa sáng,FD0006,1.0,132.0,29.0,0.0,1.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000086,MP0008,1,Bữa sáng,FD0036,1.0,46.0,0.0,12.4,0.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000087,MP0008,1,Bữa sáng,FD0122,1.0,60.0,0.8,15.0,0.4,1.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000088,MP0008,2,Bữa trưa,FD0146,1.0,520.0,30.0,56.0,16.0,4.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000089,MP0008,3,Bữa tối,FD0144,1.0,430.0,32.0,18.0,24.0,8.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000090,MP0008,3,Bữa tối,FD0099,1.0,31.0,1.4,7.4,0.2,2.1,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000091,MP0009,1,Bữa sáng,FD0069,1.0,135.0,29.0,0.0,1.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000092,MP0009,1,Bữa sáng,FD0087,1.0,101.0,0.6,27.0,0.2,5.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000093,MP0009,1,Bữa sáng,FD0124,1.0,113.0,1.0,30.0,0.2,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000094,MP0009,2,Bữa trưa,FD0104,1.2,116.4,22.8,0.0,1.8,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000095,MP0009,2,Bữa trưa,FD0079,1.2,294.0,11.5,57.6,1.8,2.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000096,MP0009,2,Bữa trưa,FD0045,1.5,34.5,4.3,5.4,0.6,3.3,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000097,MP0009,2,Bữa trưa,FD0091,0.5,43.0,1.3,1.7,3.8,0.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000098,MP0009,3,Bữa tối,FD0004,1.2,171.6,31.2,0.0,4.2,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000099,MP0009,3,Bữa tối,FD0019,1.2,156.0,2.9,34.4,0.4,0.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000100,MP0009,3,Bữa tối,FD0050,1.5,61.5,1.4,15.0,0.3,4.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000101,MP0009,3,Bữa tối,FD0040,0.5,47.0,1.8,1.6,4.0,0.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000102,MP0010,1,Bữa sáng,FD0017,1.0,116.0,9.0,20.0,0.4,8.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000103,MP0010,1,Bữa sáng,FD0078,1.0,99.0,5.1,21.4,0.1,2.1,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000104,MP0010,1,Bữa sáng,FD0029,1.0,105.0,1.3,27.0,0.3,3.1,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000105,MP0010,2,Bữa trưa,FD0102,1.2,252.0,28.8,0.0,14.4,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000106,MP0010,2,Bữa trưa,FD0087,1.2,121.2,0.7,32.4,0.2,6.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000107,MP0010,2,Bữa trưa,FD0049,1.5,46.5,1.5,9.0,0.4,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000108,MP0010,2,Bữa trưa,FD0090,0.5,85.0,4.2,2.1,7.0,0.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000109,MP0010,3,Bữa tối,FD0015,1.2,231.6,22.8,10.8,13.2,1.7,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000110,MP0010,3,Bữa tối,FD0117,1.2,168.0,4.8,28.8,4.2,3.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000111,MP0010,3,Bữa tối,FD0129,1.5,34.5,4.3,5.4,0.6,3.3,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000112,MP0011,1,Bữa sáng,FD0005,1.0,208.0,20.0,0.0,13.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000113,MP0011,1,Bữa sáng,FD0085,1.0,42.0,0.8,10.0,0.4,2.1,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000114,MP0011,2,Bữa trưa,FD0003,1.2,204.0,31.2,0.0,8.4,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000115,MP0011,2,Bữa trưa,FD0087,1.2,121.2,0.7,32.4,0.2,6.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000116,MP0011,2,Bữa trưa,FD0044,1.5,51.0,4.2,9.9,0.6,3.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000117,MP0011,2,Bữa trưa,FD0038,0.5,87.0,3.2,3.0,7.5,1.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000118,MP0011,3,Bữa phụ,FD0014,1.0,144.0,15.7,3.9,8.7,2.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000119,MP0011,3,Bữa phụ,FD0121,0.7,29.4,0.6,7.0,0.3,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000120,MP0011,4,Bữa tối,FD0072,1.2,73.2,4.2,5.6,4.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000121,MP0011,4,Bữa tối,FD0086,1.2,72.0,1.0,18.0,0.5,1.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000122,MP0011,4,Bữa tối,FD0053,1.5,30.0,3.3,5.8,0.2,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000123,MP0011,4,Bữa tối,FD0037,0.5,80.0,1.0,4.2,7.3,3.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000124,MP0012,1,Bữa sáng,FD0011,1.0,100.0,17.0,6.0,0.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000125,MP0012,1,Bữa sáng,FD0124,1.0,113.0,1.0,30.0,0.2,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000126,MP0012,1,Bữa sáng,FD0120,1.0,50.0,0.5,13.0,0.1,1.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000127,MP0012,2,Bữa trưa,FD0006,1.2,158.4,34.8,0.0,1.2,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000128,MP0012,2,Bữa trưa,FD0087,1.2,121.2,0.7,32.4,0.2,6.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000129,MP0012,2,Bữa trưa,FD0047,1.5,22.5,1.0,5.4,0.2,0.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000130,MP0012,2,Bữa trưa,FD0091,0.5,43.0,1.3,1.7,3.8,0.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000131,MP0012,3,Bữa phụ,FD0066,1.0,210.0,24.0,0.0,12.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000132,MP0012,3,Bữa phụ,FD0085,0.7,29.4,0.6,7.0,0.3,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000133,MP0012,4,Bữa tối,FD0066,1.2,252.0,28.8,0.0,14.4,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000134,MP0012,4,Bữa tối,FD0081,1.2,168.0,4.8,28.8,4.2,3.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000135,MP0012,4,Bữa tối,FD0051,1.5,33.0,4.7,4.9,0.4,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000136,MP0012,4,Bữa tối,FD0039,0.5,98.0,2.3,2.0,9.8,0.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000137,MP0013,1,Bữa sáng,FD0108,1.0,61.0,3.5,4.7,3.3,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000138,MP0013,1,Bữa sáng,FD0026,1.0,109.0,1.8,24.5,0.2,0.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000139,MP0013,1,Bữa sáng,FD0084,1.0,50.0,0.5,13.0,0.1,1.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000140,MP0013,2,Bữa trưa,FD0074,1.2,96.0,12.0,2.4,3.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000141,MP0013,2,Bữa trưa,FD0082,1.2,108.0,1.9,25.2,0.1,4.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000142,MP0013,2,Bữa trưa,FD0135,1.5,46.5,2.1,11.1,0.3,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000143,MP0013,3,Bữa tối,FD0112,1.2,158.4,10.7,28.4,0.6,10.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000144,MP0013,3,Bữa tối,FD0028,1.2,115.2,4.1,25.2,1.8,2.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000145,MP0013,3,Bữa tối,FD0051,1.5,33.0,4.7,4.9,0.4,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000146,MP0013,3,Bữa tối,FD0041,0.5,45.0,0.0,0.0,5.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000147,MP0014,1,Bữa sáng,FD0017,1.0,116.0,9.0,20.0,0.4,8.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000148,MP0014,1,Bữa sáng,FD0123,1.0,101.0,0.6,27.0,0.2,5.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000149,MP0014,1,Bữa sáng,FD0031,1.0,62.0,1.2,15.4,0.2,3.1,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000150,MP0014,2,Bữa trưa,FD0017,1.2,139.2,10.8,24.0,0.5,9.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000151,MP0014,2,Bữa trưa,FD0116,1.2,264.0,6.0,38.4,9.6,4.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000152,MP0014,2,Bữa trưa,FD0097,1.5,37.5,2.8,7.5,0.4,3.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000153,MP0014,3,Bữa tối,FD0110,1.2,96.0,12.0,2.4,3.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000154,MP0014,3,Bữa tối,FD0088,1.2,135.6,1.2,36.0,0.2,3.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000155,MP0014,3,Bữa tối,FD0133,1.5,37.5,2.8,7.5,0.4,3.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000156,MP0015,1,Bữa sáng,FD0112,1.0,132.0,8.9,23.7,0.5,8.7,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000157,MP0015,1,Bữa sáng,FD0124,1.0,113.0,1.0,30.0,0.2,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000158,MP0015,1,Bữa sáng,FD0088,1.0,113.0,1.0,30.0,0.2,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000159,MP0015,2,Bữa phụ 1,FD0010,0.8,41.6,8.8,0.6,0.2,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000160,MP0015,2,Bữa phụ 1,FD0123,1.0,101.0,0.6,27.0,0.2,5.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000161,MP0015,3,Bữa trưa,FD0060,1.0,390.0,30.0,48.0,8.0,7.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000162,MP0015,3,Bữa trưa,FD0132,1.0,31.0,1.8,7.0,0.1,2.7,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000163,MP0015,4,Bữa phụ 2,FD0066,0.8,168.0,19.2,0.0,9.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000164,MP0015,4,Bữa phụ 2,FD0086,1.0,60.0,0.8,15.0,0.4,1.6,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000165,MP0015,5,Bữa tối,FD0149,1.0,460.0,18.0,68.0,10.0,11.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000166,MP0015,5,Bữa tối,FD0099,1.0,31.0,1.4,7.4,0.2,2.1,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000167,MP0016,1,Bữa sáng,FD0066,1.0,210.0,24.0,0.0,12.0,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000168,MP0016,1,Bữa sáng,FD0114,1.0,99.0,5.1,21.4,0.1,2.1,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
